acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,84442.19,1,bank,,,,,,US,,,,,,
1,C_1,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75795.44,1,bank,,,,,,US,,,,,,
2,C_2,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,42057.16,1,bank,,,,,,US,,,,,,
3,C_3,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,25891.68,1,bank,,,,,,US,,,,,,
4,C_4,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,51127.47,1,bank,,,,,,US,,,,,,
5,C_5,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,40493.41,1,bank,,,,,,US,,,,,,
6,C_6,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,78379.86,1,bank,,,,,,US,,,,,,
7,C_7,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,30331.27,1,bank,,,,,,US,,,,,,
8,C_8,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,47659.70,1,bank,,,,,,US,,,,,,
9,C_9,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,58338.20,1,bank,,,,,,US,,,,,,
10,C_10,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90811.29,1,bank,,,,,,US,,,,,,
11,C_11,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,50468.69,1,bank,,,,,,US,,,,,,
12,C_12,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,28183.78,1,bank,,,,,,US,,,,,,
13,C_13,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75580.42,1,bank,,,,,,US,,,,,,
14,C_14,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,61836.90,1,bank,,,,,,US,,,,,,
15,C_15,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,25050.63,1,bank,,,,,,US,,,,,,
16,C_16,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90974.63,1,bank,,,,,,US,,,,,,
17,C_17,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,98278.55,1,bank,,,,,,US,,,,,,
18,C_18,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,81021.72,1,bank,,,,,,US,,,,,,
19,C_19,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90216.60,1,bank,,,,,,US,,,,,,
20,C_20,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,31014.76,1,bank,,,,,,US,,,,,,
21,C_21,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,72983.17,1,bank,,,,,,US,,,,,,
22,C_22,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,89883.83,1,bank,,,,,,US,,,,,,
23,C_23,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,68398.39,1,bank,,,,,,US,,,,,,
24,C_24,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,47214.27,1,bank,,,,,,US,,,,,,
25,C_25,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,10070.12,1,bank,,,,,,US,,,,,,
26,C_26,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,43417.18,1,bank,,,,,,US,,,,,,
27,C_27,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,61088.70,1,bank,,,,,,US,,,,,,
28,C_28,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,91301.11,1,bank,,,,,,US,,,,,,
29,C_29,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96660.64,1,bank,,,,,,US,,,,,,
30,C_30,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,47700.98,1,bank,,,,,,US,,,,,,
31,C_31,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,86530.99,1,bank,,,,,,US,,,,,,
32,C_32,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,26049.23,1,bank,,,,,,US,,,,,,
33,C_33,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80502.78,1,bank,,,,,,US,,,,,,
34,C_34,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,54869.93,1,bank,,,,,,US,,,,,,
35,C_35,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,1404.17,1,bank,,,,,,US,,,,,,
36,C_36,SAV,A,USD,true,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71970.47,1,bank,,,,,,US,,,,,,
37,C_37,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,39882.35,1,bank,,,,,,US,,,,,,
38,C_38,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,82484.50,1,bank,,,,,,US,,,,,,
39,C_39,SAV,A,USD,false,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,66815.32,1,bank,,,,,,US,,,,,,
